                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4527,                 3.4042,                 1.0218,                0.22401,                  0.256,                0.16319,                0.10235,                 1.3311,                  2.075,                0.92773,             0.00018441,             0.00018441,             0.00018441
                      2,                  1.353,                 1.9512,                0.98803,                 0.3348,                0.39755,                0.28237,                0.19259,                 1.1918,                 1.6401,                0.91978,              0.0003551,              0.0003551,              0.0003551
                      3,                 1.2911,                 1.6708,                0.97509,                0.39541,                0.38863,                0.34474,                0.23996,                 1.1415,                 1.4488,                0.91399,             0.00051111,             0.00051111,             0.00051111
                      4,                 1.2324,                 1.5136,                0.96317,                 0.4652,                0.45873,                0.41596,                0.29767,                  1.121,                 1.3291,                0.90186,             0.00048995,             0.00048995,             0.00048995
                      5,                 1.1998,                 1.4439,                 0.9613,                 0.4652,                0.47342,                0.45336,                0.32505,                 1.0988,                 1.2703,                0.90089,             0.00048995,             0.00048995,             0.00048995
                      6,                 1.1627,                  1.326,                0.94628,                0.54418,                0.47812,                0.45374,                0.32143,                 1.1015,                 1.2933,                 0.8991,             0.00046793,             0.00046793,             0.00046793
                      7,                 1.1424,                  1.284,                0.94427,                 0.5397,                0.50698,                0.49914,                0.36441,                 1.0425,                 1.1595,                0.88927,             0.00044591,             0.00044591,             0.00044591
                      8,                 1.1383,                 1.2351,                0.93573,                0.62942,                0.50269,                0.53007,                 0.3828,                 1.0497,                  1.074,                0.89116,             0.00042389,             0.00042389,             0.00042389
                      9,                 1.1074,                  1.188,                0.92991,                0.65385,                0.51602,                0.54546,                0.40569,                 1.0019,                  1.007,                0.87784,             0.00040188,             0.00040188,             0.00040188
                     10,                 1.0781,                 1.1648,                0.92258,                0.62654,                0.53896,                0.55118,                0.39539,                 1.0436,                 1.0443,                0.88372,             0.00037986,             0.00037986,             0.00037986
                     11,                 1.0803,                 1.1218,                0.92512,                0.63038,                0.53194,                0.56997,                0.41911,                0.99073,                 0.9898,                0.87424,             0.00035784,             0.00035784,             0.00035784
                     12,                 1.0662,                 1.0747,                0.91787,                0.64945,                0.52379,                0.56121,                0.41408,                0.98529,                 0.9988,                 0.8725,             0.00033582,             0.00033582,             0.00033582
                     13,                 1.0479,                   1.05,                0.91556,                0.67011,                0.52625,                0.57735,                0.43601,                0.95063,                   0.93,                0.86365,             0.00031381,             0.00031381,             0.00031381
                     14,                 1.0344,                 1.0254,                0.91171,                0.72988,                0.52566,                0.59012,                0.44471,                0.95373,                0.89522,                0.86714,             0.00029179,             0.00029179,             0.00029179
                     15,                 1.0361,                 1.0096,                0.90965,                0.70266,                0.53156,                0.59578,                0.44889,                0.94252,                0.90939,                0.86356,             0.00026977,             0.00026977,             0.00026977
                     16,                0.96307,                 0.9292,                0.87837,                0.68467,                0.54833,                0.60136,                0.44654,                0.94845,                0.89833,                0.86536,             0.00024775,             0.00024775,             0.00024775
                     17,                0.95279,                0.89967,                 0.8787,                 0.7503,                0.54339,                 0.6186,                0.46589,                0.92325,                0.84383,                0.86181,             0.00022574,             0.00022574,             0.00022574
                     18,                0.94066,                0.87073,                0.87163,                0.76027,                0.54312,                0.62764,                0.47071,                 0.9209,                 0.8335,                 0.8602,             0.00020372,             0.00020372,             0.00020372
                     19,                0.92061,                0.83596,                0.86892,                0.76049,                0.56456,                0.63712,                0.48181,                0.92103,                0.80828,                0.85965,              0.0001817,              0.0001817,              0.0001817
                     20,                0.91967,                0.82622,                0.87075,                0.78898,                0.54937,                0.63892,                0.48256,                0.90818,                 0.8032,                0.85764,             0.00015968,             0.00015968,             0.00015968
                     21,                0.90776,                0.80556,                 0.8655,                0.76851,                0.55622,                0.64011,                0.49144,                0.89148,                0.77922,                0.85464,             0.00013767,             0.00013767,             0.00013767
